,alpha,beta,par_tp,par_fn,par_fp,par_jaccard,track_tp,track_fn,track_fp,track_jaccard,aveFramesOnFirstParticle,propLoyalTracks,aveFramesOnParticle,nPar,diff_con,method,data,lookBack,maxCost,sigP,sigMeas
9,0.9578845,0.9578845,47915,0.0,2085.0,0.9583,50,0,0,1.0,911.66,0.88,713.2857142857143,50,3,KF,RW,1,60,15.0,10.0
0,0.984173142578125,0.984173142578125,49212,0.0,788.0,0.98424,50,0,0,1.0,924.12,0.9,861.0689655172414,50,5,KF,RW,1,30,50.0,3.0
1,0.96646178515625,0.8948720232928241,48337,665.0,1663.0,0.9540511201026349,50,0,4,0.9259259259259259,867.4074074074074,0.7777777777777778,805.4516129032259,50,5,KF,RW,1,30,50.0,3.0
2,0.93819512890625,0.795080617717161,46919,2511.0,3081.0,0.8935080268896041,50,0,9,0.847457627118644,787.5762711864406,0.6271186440677966,745.2686567164179,50,5,KF,RW,1,30,50.0,3.0
3,0.95982,0.8569821428571428,47991,2009.0,2009.0,0.922744140437232,50,0,6,0.8928571428571429,891.8571428571429,0.7857142857142857,891.8571428571429,50,5,KF,RW,1,30,50.0,3.0
4,0.97192963671875,0.8835723970170455,48602,736.0,1398.0,0.9579391359192684,50,0,5,0.9090909090909091,847.5818181818182,0.7636363636363637,846.457627118644,50,5,KF,RW,1,30,50.0,3.0
5,0.92948,0.7745666666666666,46474,3067.0,3526.0,0.8757608306480487,50,0,10,0.8333333333333334,811.5333333333333,0.65,805.4516129032259,50,5,KF,RW,1,30,50.0,3.0
6,0.9624338828125,0.8911424840856481,48127,1219.0,1873.0,0.9396317772701537,50,0,4,0.9259259259259259,868.1666666666666,0.7962962962962963,861.0689655172414,50,5,KF,RW,1,30,50.0,3.0
7,0.977700236328125,0.9223587135170991,48890,800.0,1110.0,0.9624015748031496,50,0,3,0.9433962264150944,880.5094339622641,0.8301886792452831,818.672131147541,50,5,KF,RW,1,30,50.0,3.0
8,0.9842830224609375,0.9464259831355168,49217,357.0,783.0,0.9773616379053558,50,0,2,0.9615384615384616,909.8269230769231,0.8653846153846154,891.8571428571429,50,5,KF,RW,1,30,50.0,3.0
9,0.939147359375,0.8385244280133929,46967,1149.0,3033.0,0.9182388707501613,50,0,6,0.8928571428571429,788.3571428571429,0.6428571428571429,756.5757575757576,50,5,KF,RW,1,30,50.0,3.0
0,0.9994638106689453,0.9994638106689453,49978,0.0,22.0,0.99956,50,0,0,1.0,996.92,0.96,861.0689655172414,50,3,KF,RW,1,60,50.0,5.0
1,0.9980681301269532,0.9980681301269532,49912,0.0,88.0,0.99824,50,0,0,1.0,969.68,0.92,891.8571428571429,50,3,KF,RW,1,60,50.0,5.0
