,alpha,beta,par_tp,par_fn,par_fp,par_jaccard,track_tp,track_fn,track_fp,track_jaccard,aveFramesOnFirstParticle,propLoyalTracks,aveFramesOnParticle,nPar,mean_vel,method,data,lookBack,maxCost
3,0.9850465908203125,0.9850465908203125,49254,0.0,746.0,0.98508,50,0,0,1.0,984.04,0.96,960.5384615384615,50,1,naive,rnr,1,200
4,0.99996,0.99996,49998,0.0,2.0,0.99996,50,0,0,1.0,964.76,0.96,924.925925925926,50,1,naive,rnr,1,200
5,0.98774706640625,0.98774706640625,49396,0.0,604.0,0.98792,50,0,0,1.0,947.6,0.92,924.925925925926,50,1,naive,rnr,1,200
6,0.9994,0.9994,49970,0.0,30.0,0.9994,50,0,0,1.0,959.6,0.96,960.5384615384615,50,1,naive,rnr,1,200
7,0.9812012265625,0.9812012265625,49062,0.0,938.0,0.98124,50,0,0,1.0,947.88,0.92,924.925925925926,50,1,naive,rnr,1,200
8,0.9912,0.9912,49560,0.0,440.0,0.9912,50,0,0,1.0,966.32,0.96,924.925925925926,50,1,naive,rnr,1,200
9,0.98728,0.98728,49364,0.0,636.0,0.98728,50,0,0,1.0,986.28,0.96,960.5384615384615,50,1,naive,rnr,1,200
0,0.9622639609375,0.9622639609375,48114,0.0,1886.0,0.96228,50,0,0,1.0,571.56,0.54,580.3953488372093,50,11,naive,rnr,1,120
1,0.93524,0.8992692307692308,46762,448.0,3238.0,0.9269346653980336,50,0,2,0.9615384615384616,346.63461538461536,0.25,449.45045045045043,50,11,naive,rnr,1,120
2,0.92706,0.92706,46353,0.0,3647.0,0.92706,50,0,0,1.0,476.94,0.42,554.5555555555555,50,11,naive,rnr,1,120
3,0.969471484375,0.9504622395833333,48487,71.0,1513.0,0.9683649218110283,50,0,1,0.9803921568627451,634.9411764705883,0.5686274509803921,587.2352941176471,50,11,naive,rnr,1,120
4,0.97254,0.97254,48627,0.0,1373.0,0.97254,50,0,0,1.0,435.08,0.42,530.9148936170212,50,11,naive,rnr,1,120
5,0.9733,0.9542156862745098,48665,182.0,1335.0,0.9697700370650831,50,0,1,0.9803921568627451,541.0196078431372,0.49019607843137253,587.2352941176471,50,11,naive,rnr,1,120
6,0.8969199999999999,0.8461509433962264,44846,532.0,5154.0,0.8874772421435921,50,0,3,0.9433962264150944,609.0,0.49056603773584906,573.7126436781609,50,11,naive,rnr,1,120
7,0.95828,0.7985666666666666,47914,1394.0,2086.0,0.9322878156983305,50,0,10,0.8333333333333334,466.3333333333333,0.4166666666666667,542.4782608695652,50,11,naive,rnr,1,120
8,0.92104,0.8528148148148148,46052,1226.0,3948.0,0.8989966032873932,50,0,4,0.9259259259259259,489.94444444444446,0.37037037037037035,542.4782608695652,50,11,naive,rnr,1,120
9,0.974762984375,0.9556499846813725,48739,32.0,1261.0,0.9741565398145187,50,0,1,0.9803921568627451,685.6078431372549,0.6470588235294118,703.2253521126761,50,11,naive,rnr,1,120
0,0.9447439609375,0.9447439609375,47238,0.0,2762.0,0.94476,50,0,0,1.0,536.3,0.48,536.6344086021505,50,11,naive,rnr,1,200
1,0.93602,0.93602,46801,0.0,3199.0,0.93602,50,0,0,1.0,324.94,0.26,412.22314049586777,50,11,naive,rnr,1,200
2,0.92074,0.92074,46037,0.0,3963.0,0.92074,50,0,0,1.0,432.32,0.38,499.0,50,11,naive,rnr,1,200
3,0.967311484375,0.967311484375,48379,0.0,1621.0,0.96758,50,0,0,1.0,610.52,0.56,560.7977528089888,50,11,naive,rnr,1,200
